id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5697694,Spacious apartment by Pippi Beach,2411874,Kathryn,CLARENCE VALLEY COUNCIL,-29.443565460937815,153.3631964226742,Private room,65,1,16,2016-03-15,1.33,1,86
6482833,Captain's Bridge,16155053,Gordon,CLARENCE VALLEY COUNCIL,-29.866874714175186,153.2653130118871,Entire home/apt,115,1,4,2016-02-29,0.40,3,340
59459,"Gulmarrad Getaway- Near Maclean,NSW",285576,Liz,CLARENCE VALLEY COUNCIL,-29.489403160261414,153.24500706087153,Private room,65,1,74,2016-03-26,1.22,1,352
9495666,Surfers Rest Pet Friendly Yamba,26484826,Justine,CLARENCE VALLEY COUNCIL,-29.44233745676906,153.3640726820291,Entire home/apt,130,3,0,,,5,360
6628923,Loyola Riverview Country Cottage,31499396,Bernadette,CLARENCE VALLEY COUNCIL,-29.402684511361237,153.28597362213517,Entire home/apt,140,1,13,2016-03-29,1.58,1,359
11854815,Bilson's Landing - Yamba (Dogs OK),21722456,David,CLARENCE VALLEY COUNCIL,-29.424293226593978,153.3305178840904,Entire home/apt,250,3,0,,,1,324
11328184,Three Bedroom Beach Townhouse,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.44216165183997,153.36370395042917,Entire home/apt,190,2,1,2016-03-25,1,9,336
8707791,'Surya Ghar' - The Sun House,11002791,Leena,CLARENCE VALLEY COUNCIL,-29.480729376011634,153.3420750166395,Entire home/apt,300,2,0,,,1,0
8182862,Yamba - waterfront accommodation.,33204376,Marion,CLARENCE VALLEY COUNCIL,-29.43531648125626,153.3213567823498,Private room,74,1,19,2016-03-30,2.91,1,363
11328047,Three Bedroom Beach Townhouse no.2,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.443770180164893,153.36543670325125,Entire home/apt,190,2,1,2016-03-23,1,9,307
8311877,Angourie Bungalow - Spookys,43822888,Angela,CLARENCE VALLEY COUNCIL,-29.479442355300623,153.3596497955953,Entire home/apt,210,2,0,,,3,236
11325087,3 bedroom beach house,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.43861313782839,153.3592010843827,Entire home/apt,190,2,0,,,9,321
11325077,3 bdrm house with beachviews,55472952,Yamba Beachside Accomodation,CLARENCE VALLEY COUNCIL,-29.43841555333163,153.36442662450008,Entire home/apt,190,2,0,,,9,311
2412474,"Tucabia peaceful, quiet and relaxed",12329645,Bob,CLARENCE VALLEY COUNCIL,-29.657810062871242,153.09607041929854,Private room,44,1,9,2016-03-17,0.56,1,365
9354969,Close to beaches & National Park!,48036624,Hannah,CLARENCE VALLEY COUNCIL,-29.473744394674608,153.3526173172148,Entire home/apt,300,7,0,,,1,0
8699468,"""Celtic Mists"" Farm Stay",45670880,Rick,CLARENCE VALLEY COUNCIL,-30.07623149523167,152.94264753383,Private room,70,1,12,2016-03-11,3.71,1,358
11214345,The Garden Temple,1624979,James,CLARENCE VALLEY COUNCIL,-29.957127878457506,152.95324838044024,Private room,46,1,0,,,1,365
